,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1010921,1010921,Doctor Octopus (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c00344e05ce0.jpg,15,5,15,0
1010818,1010818,Komodo (Melati Kusuma),,http://i.annihil.us/u/prod/marvel/i/mg/a/30/535ff55a6d8f6.jpg,20,2,24,4
1010908,1010908,Beast (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c.jpg,49,10,90,0
1010918,1010918,Cyclops (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/c/80/53176b8fe1dfa.jpg,67,16,120,0
1010943,1010943,Magneto (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/6/60/53176fa65e0e3.jpg,36,10,51,0
1010978,1010978,Storm (Ultimate),"Ororo Munroe was raised in Morocco, learning English from American films, and after her family was murdered she fled to America, stealing cars in Harlem before relocating to Texas.",http://i.annihil.us/u/prod/marvel/i/mg/6/10/5317733a7ab7a.jpg,65,13,118,0
1009410,1009410,Moira MacTaggert,,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c003d5e64f22.jpg,35,21,30,3
1010667,1010667,Jessica Drew,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,13,5,14,1
1009532,1009532,Reaper,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,18,8,21,1
1010361,1010361,Meteorite,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1011259,1011259,Jackpot,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,7,4,10,0
1009561,1009561,Sauron,,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c003c3d85554.jpg,62,27,66,1
1009488,1009488,Ozymandias,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,15,12,11,1
1011013,1011013,Fantastic Four (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/f/b0/4c0032727c038.jpg,99,28,116,0
1011037,1011037,Deathcry,,http://i.annihil.us/u/prod/marvel/i/mg/9/d0/535ff379c7c1b.jpg,8,4,7,3
1009641,1009641,Swordsman,"Andreas reappeared as the Swordsman in the latest incarnation of the Thunderbolts, though his true identity was kept secret for some time.",http://i.annihil.us/u/prod/marvel/i/mg/a/40/535ff38904fff.jpg,60,25,56,4
1010996,1010996,Yellowjacket (Rita DeMara),"Rita DeMara, hoping to show off her talent of engineering, stole a copy of the Yellowjacket costume from the Avengers Mansion.",http://i.annihil.us/u/prod/marvel/i/mg/9/f0/5398a8a4b8ca9.jpg,9,4,9,1
1010330,1010330,Donald Blake,,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/4ce5a23640434.jpg,15,7,23,0
