,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1009715,1009715,Wild Child,"Kyle Gibney's mutant powers emerged at an early age and left him with a freakish appearance, horrifying his parents, who kicked him out of the house, where he was eventually found and experimented upon by the Secret Empire and, later, Department H, who dubbed Gibney Wild Child and placed him with Gamma Flight, the entry-level team whose recruits can eventually graduate to Alpha Flight.",http://i.annihil.us/u/prod/marvel/i/mg/8/00/4c003a6b5d11a.jpg,49,17,48,1
1010993,1010993,Mary Jane Watson (House of M),"Mary Jane Watson always wanted to be an actress, but all the roles seemed to go to mutants, until her former high school friend, and world famous performer, Peter Parker asked her to play his love interest in his newest movie, upon the release of which made her America's sweetheart and one of the only human movies stars able to launch her own solo projects.",http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c003291616a1.jpg,2,1,1,0
1009402,1009402,Lilandra,,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52740ff3f2c50.jpg,114,41,104,5
1011358,1011358,Doctor Strange (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/53176bbb6dc50.jpg,11,7,11,0
1014992,1014992,Dormammu (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,3,3,0
1010984,1010984,Union Jack (Montgomery Falsworth),"During World War I, Lord Montgomery Falsworth was recruited by the British army to become one of the first public superhero champions: Union Jack.",http://i.annihil.us/u/prod/marvel/i/mg/2/10/4c0032a211f54.jpg,19,4,18,0
1011365,1011365,Vanisher (Telford Porter),Nothing is known about the Vanisher's past before he embarked on a one-man crime wave of spectacular thefts using his power of self-teleportation.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,12,4,13,2
1011329,1011329,Omega Sentinel,,http://i.annihil.us/u/prod/marvel/i/mg/8/70/4c002e4dc5f11.jpg,1,1,1,0
1009237,1009237,Chimera,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,6,2,9,0
1010893,1010893,Kid Colt,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,14,6,17,0
1011394,1011394,Shiver Man,The Shiver Man is an undead bounty hunter who has worked with Nick Fury and Wolverine.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1011393,1011393,She-Hulk (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/3/60/531771492e3ae.jpg,2,2,2,0
1011311,1011311,Ultimo,"Ultimo was a robotic construct that was developed several thousand years ago on an unknown world, which the Mandarin eventually discovered and claimed as his own creation.",http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c002e5d2432b.jpg,7,3,12,0
1010868,1010868,Firebird,,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c0035b0a7de0.jpg,35,12,32,2
1011373,1011373,Sons of the Tiger,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,5,4,22,0
1011295,1011295,The Howling Commandos,,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4ce5a603588f5.jpg,4,2,4,0
1010919,1010919,Daredevil (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/53176b9e705dc.jpg,22,10,27,0
1010929,1010929,Green Goblin (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c003439f081b.jpg,2,2,2,0
1014995,1014995,Hammerhead (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,5,4,5,0
1011218,1011218,Harry Osborn (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,10,6,7,0
1014998,1014998,Moon Knight (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,4,8,0
1010855,1010855,Solo (James Bourne),James Bourne was drafted to a top-secret special forces operation where he endured ten months of hard and brutal training to earn his place in the new counter-terrorist group Omega Strike.,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c7c641408c12.jpg,21,10,20,1
1009507,1009507,Prowler,,http://i.annihil.us/u/prod/marvel/i/mg/8/50/4c003c8acc314.jpg,25,11,23,3
1011075,1011075,Swarm,"Fritz von Meyer was once a Nazi scientist, the details of which remain unrevealed, although it is known he had access to looted gold from countless European capitals to fund his research.",http://i.annihil.us/u/prod/marvel/i/mg/8/50/4c0030df47ab2.jpg,2,2,2,0
1009152,1009152,Ancient One,,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac.jpg,30,11,34,2
1009305,1009305,Firelord,,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59fd314c38.jpg,43,24,49,2
1010752,1010752,Karolina Dean ,,http://i.annihil.us/u/prod/marvel/i/mg/d/50/4c00377435871.jpg,12,10,11,0
1011413,1011413,Iron Fist (Quan Yaozu),,http://i.annihil.us/u/prod/marvel/i/mg/4/20/53176e89b563e.jpg,1,1,1,0
1011403,1011403,"Lei Kung, The Thunderer",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,7,2,9,0
1010889,1010889,Steel Serpent (Davos),,http://i.annihil.us/u/prod/marvel/i/mg/4/90/4ce5a3cacb3af.jpg,16,5,19,0
1011345,1011345,Tinkerer,The Tinkerer is an ordinary man who has an extraordinary talent for anything mechanical.,http://i.annihil.us/u/prod/marvel/i/mg/b/60/4c002e3aaf52e.jpg,16,10,14,1
1010722,1010722,Human Robot,,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c7c642ee254c.jpg,12,6,12,2
1011106,1011106,Venus (Siren),"During her time as an adventurer, Venus was approached by FBI agent Jimmy Woo, and she agreed to join Jimmy and his allies in freeing President Eisenhower from the clutches of the Yellow Claw.",http://i.annihil.us/u/prod/marvel/i/mg/f/f0/535ff36a8fbef.jpg,8,5,9,2
1011132,1011132,Blob (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/9/00/4ce5a51b309b7.jpg,14,4,22,0
1014973,1014973,Brotherhood of Mutants (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,13,4,18,0
1009522,1009522,Pyro,,http://i.annihil.us/u/prod/marvel/i/mg/e/c0/4ce5a0eeab435.jpg,58,23,63,5
1010992,1010992,Wasp (Ultimate),"Janet Van Dyne has the ability to shrink down to the size of an insect and has the insect-like properties of her namesake, the wasp.",http://i.annihil.us/u/prod/marvel/i/mg/2/70/4c00329438aa0.jpg,28,12,35,0
1010814,1010814,Squadron Supreme (Earth-712),,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035eca1466.jpg,52,17,68,0
1010363,1010363,Logan,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,31,13,30,0
1010985,1010985,Union Jack (Brian Falsworth),"Imprisoned in Germany during WWII, Brian Falsworth shared a cell with a German scientist who had tried to recreate the super-soldier serum, but didn't want it to fall into Nazi hands, so he gave his only sample to Brian, who gained enhanced strength, speed, stamina and reflexes.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,3,4,0
1011011,1011011,Vulcan (Gabriel Summers),Vulcan is the third Summers brother and an Omega-level mutant who was thought long-dead by Professor X.,http://i.annihil.us/u/prod/marvel/i/mg/3/80/528d3629c2a91.jpg,23,11,20,1
1011277,1011277,Young X-Men,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,18,2,26,0
1010143,1010143,Caretaker,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,2,4,1
1009423,1009423,Manta,,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c003d5308145.jpg,9,7,5,1
1011184,1011184,Mentor,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,2,2,1
1009603,1009603,Smasher (Vril Rokk),"Smasher is a member of the Imperial Guard, a multi-ethnic group of super-powered alien beings who act as enforcers of the laws of the Shi'ar Empire.",http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c003ae66139c.jpg,17,11,10,1
1009621,1009621,Starbolt,Starbolt is a member of the Shi'ar Imperial Guard.,http://i.annihil.us/u/prod/marvel/i/mg/e/70/4c003acf4e4bc.jpg,9,6,6,1
1011320,1011320,M.O.D.O.G.,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,2,1,0
1011019,1011019,Molecule Man,,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/528d33c2a72b2.jpg,9,6,10,1
1009290,1009290,Elite,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1009418,1009418,Ma Gnuci,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,1,2,0
1009541,1009541,Molly Von Richtofen,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,1,2,0
1009403,1009403,Liz Osborn,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,12,7,10,2
1011370,1011370,Molten Man,,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4c002e34d7cdc.jpg,7,4,7,1
1009506,1009506,Proudstar,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,5,3,6,0
1010707,1010707,Nuke,,http://i.annihil.us/u/prod/marvel/i/mg/c/10/4ce5a28ac1c48.jpg,12,7,14,0
1011062,1011062,Stranger,"By his own account, the Stranger is a composite being possessing the combined strength and intellect of the billions of humanoid beings who once lived on the planet Gigantus, an ancient world in the Andromeda Galaxy whose size approached the limit at which a planet can exist before fissioning into a sun.",http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0030fd08ad6.jpg,7,6,5,0
1011213,1011213,Feral,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,6,4,6,1
1011054,1011054,Spider-Man (1602),,http://i.annihil.us/u/prod/marvel/i/mg/e/03/5317713c9e746.jpg,44,5,79,0
1010762,1010762,Pip,,http://i.annihil.us/u/prod/marvel/i/mg/9/30/4ce5a30a8249e.jpg,18,9,17,1
1009349,1009349,Holocaust (Age of Apocalypse),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,31,17,29,2
1009501,1009501,Post,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,13,8,11,1
1011334,1011334,3-D Man,,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,12,3,21,1
1010945,1010945,Magneto (House of M),,http://i.annihil.us/u/prod/marvel/i/mg/3/60/53176f6222dd5.jpg,10,7,8,1
1011352,1011352,True Believers,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,5,1,5,0
1010346,1010346,Controller,,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c003923719ff.jpg,7,3,9,0
1009207,1009207,GW Bridge,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,22,3,21,3
1011350,1011350,Marvel Apes,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,9,2,13,0
1011074,1011074,Lilith,,http://i.annihil.us/u/prod/marvel/i/mg/3/e0/52740fe6287e4.jpg,6,5,11,0
1009687,1009687,Unus,"Angelo Unuscione is a mutant whose powers did not surface until adolescence, when he first used them as a school bully and later as a small time criminal before immigrating to America and using his ability to create a virtually impenetrable force field around himself to launch a career as a flamboyant, invincible costumed wrestler known by the stage name of Unus the Untouchable.",http://i.annihil.us/u/prod/marvel/i/mg/6/00/4c003a847f5d2.jpg,12,10,8,1
1011114,1011114,Spider-Man (Marvel Zombies),"Zombie Spider-Man ate his own wife and aunt, the only two people left in the world who truly loved him.",http://i.annihil.us/u/prod/marvel/i/mg/3/00/531772716d0ac.jpg,8,4,8,0
1009433,1009433,Master Mold,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,9,6,9,0
1010888,1010888,Iron Fist (Orson Randall),,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/53176e979cca2.jpg,14,6,14,0
1009710,1009710,Wendigo,,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4ce5a1fa7a013.jpg,22,10,28,0
1009526,1009526,Radioactive Man,,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c003c66d3393.jpg,30,20,27,2
1009216,1009216,Caliban,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/52bc8ac6e48db.jpg,71,16,77,6
1009425,1009425,Marrow,,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c003d4ce6711.jpg,84,24,105,1
1009643,1009643,Synch,Everett Thomas was a founding member of Generation X.,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif,18,12,18,1
1009439,1009439,Meltdown,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home before eventually hooking up with the New Mutants and, subsequently, X-Force.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,70,12,95,1
1010901,1010901,Stephen Strange,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,10,6,12,1
1011325,1011325,Salem's Seven (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,1,8,0
1011289,1011289,Killmonger,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,26,9,26,0
1009484,1009484,Oracle,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c003d0361454.jpg,20,13,12,0
1011261,1011261,Vin Gonzales,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,1,4,0
1009620,1009620,Obadiah Stane,,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4ce5a1b721545.jpg,4,2,7,0
1010795,1010795,Spider-Woman (Charlotte Witter),,http://i.annihil.us/u/prod/marvel/i/mg/c/60/531771afe4ffa.jpg,11,6,14,1
1011124,1011124,Nightshade,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,2,3,0
1011026,1011026,Mantis,,http://i.annihil.us/u/prod/marvel/i/mg/3/20/52740fa12e826.jpg,52,15,58,4
1011404,1011404,Jeryn Hogarth,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,19,5,20,0
1011294,1011294,The Enforcers,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,2,3,0
1010980,1010980,Franklin Storm,Franklin Storm was the father of Susan and Johnny Storm.,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0032a9477bc.jpg,6,4,10,0
1015007,1015007,Dreaming Celestial,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,3,3,0
1010725,1010725,Makkari,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,18,7,18,0
1011122,1011122,Elloe Kaifi,,http://i.annihil.us/u/prod/marvel/i/mg/4/50/5269559c8d0c9.jpg,3,1,3,0
1010703,1010703,Hiroim,,http://i.annihil.us/u/prod/marvel/i/mg/9/60/528d341abd6d9.jpg,4,2,4,1
1011121,1011121,Warbound,,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/53628de09a012.jpg,5,2,5,0
1009205,1009205,Boomer,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,62,12,73,2
1009298,1009298,Famine,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,15,3,15,1
1009308,1009308,Forearm,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,22,9,21,0
1010767,1010767,Random,,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00375b36bd4.jpg,3,3,2,0
1009701,1009701,War (Abraham Kieros),"A young veteran wounded during the Vietnam War, Abraham Kieros was selected by Apocalypse to become the Horseman War.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,13,5,13,2
1009716,1009716,Wildside,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,19,6,19,0
1009544,1009544,Risque,,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c7c645aa1623.jpg,13,5,12,1
1009579,1009579,Shard,"Shard and her older brother Bishop were raised in the 21st Century, some eighty years into an alternate future, by their grandmother, in a timeline in which the X-Men were betrayed by one of their own and killed, causing a disaster that caused the government to place a stylized 'M' tattoo over the left eyes of all mutants.",http://i.annihil.us/u/prod/marvel/i/mg/2/50/4c003c24b9222.jpg,28,5,34,1
1009529,1009529,Ilyana Rasputin,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,2,0
1009530,1009530,Mikhail Rasputin,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,10,6,13,1
1011208,1011208,Anthem,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,11,2,20,1
1011209,1011209,Calamity,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,11,2,20,1
1011210,1011210,Mulholland Black,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,11,2,19,1
1011232,1011232,Supernaut,Sergeant Milo Fields was recruited for the Order and regained the use of his legs after his nervous system intermingled with that of Aralune.,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c002f048e0b6.jpg,11,2,19,1
1011018,1011018,The Order,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,18,3,27,1
1011231,1011231,Veda,"Magdalena Marie Neuntauben became an accomplished martial artist, then a model, and later an actress, from which she donated all of her proceeds to her charity, which made her a prime candidate for recruitment into the Order.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,11,2,20,1
1011375,1011375,Leper Queen,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1015004,1015004,Thanos (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/5317734cbc1d0.jpg,5,2,7,0
1010717,1010717,Debrii,,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038c02e75a.jpg,9,3,15,2
1010826,1010826,MVP,,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a36f31b94.jpg,4,3,6,1
1010827,1010827,Armory,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,2,1
1010684,1010684,Night Thrasher,,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/52695ac9de43e.jpg,46,12,70,4
1011402,1011402,Wendell Rand,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,6,1,6,0
1009210,1009210,Brute,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,9,6,7,1
1011221,1011221,Giant Girl,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,1,2,0
1010991,1010991,War Machine (Parnell Jacobs),"Parnell Jacobs was a member of the U.S. Army who fought in Sin-Congese civil war in Asia alongside Jim Rhodes and who later encountered the discarded armor of Rhodes' superhero alter-ego, War Machine, which Jacobs studied used for the basis of many arms designs.",http://i.annihil.us/u/prod/marvel/i/mg/c/f0/535febf826de5.jpg,1,1,1,0
1009177,1009177,Bedlam,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,6,7,0
1009383,1009383,Garrison Kane,,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c003e9db374b.jpg,19,10,19,0
1011264,1011264,Blue Shield,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1011269,1011269,Newton Destine,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,2,2,0
1010878,1010878,"Janus, the Nega-Man",,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,2,0
1015001,1015001,Shang-Chi (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,5,10,0
1011283,1011283,Lords of Avalon,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,0,2,0
1011417,1011417,Marvex,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,3,0
1011419,1011419,Phantom Reporter,,http://i.annihil.us/u/prod/marvel/i/mg/9/90/4ce5a77f0492c.jpg,2,2,2,0
1011256,1011256,Gladiator (Melvin Potter),,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4ce5a5ca49c7f.jpg,9,6,14,0
1009446,1009446,Mister Fear,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,3,5,0
1011111,1011111,Fantastick Four,,http://i.annihil.us/u/prod/marvel/i/mg/4/80/4c0030a052a1c.jpg,1,1,1,0
1010825,1010825,Triathlon,"After being exposed as a steroid user and stripped of his awards, gifted sprinter Delroy Garrett Jr. sought new direction in the Triune Understanding, a philosophical movement that preaches the fulfillment of one's innate potential by balancing various aspects of environment and self, after which he developed a superhuman triple-powered physique, and, believing the Triune teachings had unlocked his latent powers, Garrett became the costumed hero Triathlon and celebrity spokesman for the Triune Understanding.",http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4c7c64195cbb9.jpg,41,10,48,1
1009342,1009342,Hepzibah,,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c003eda76ac7.jpg,38,13,35,2
1010896,1010896,Lyja,,http://i.annihil.us/u/prod/marvel/i/mg/3/40/4c003594c52e8.jpg,28,5,54,0
1010895,1010895,Sharon Ventura,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,9,4,17,0
1010779,1010779,Pete Wisdom,"Pete Wisdom is a former agent of the British intelligence agency Black Air, which was charged with the observation of, and interaction with, extranormal activity, and he was the agency's liaison with the British superhero group Excalibur, whom he eventually aided in exposing Black Air's subversive criminal activities.",http://i.annihil.us/u/prod/marvel/i/mg/f/b0/4c003740c9027.png,22,9,22,0
1009474,1009474,Nocturne,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,33,14,34,1
1011193,1011193,Kabuki,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,11,1,11,0
1011219,1011219,The Fury,,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c002f0d934b6.jpg,1,1,1,0
1011411,1011411,Chores MacGillicudy,,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c002e1c622c8.jpg,1,1,1,0
1011410,1011410,Confederates of the Curious,,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c002e1f3f490.jpg,1,1,1,0
1011407,1011407,Contessa (Vera Vidal),,http://i.annihil.us/u/prod/marvel/i/mg/2/70/4c002e274342b.jpg,1,1,1,0
1011408,1011408,Lightning Lords of Nepal,,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4c002e24a1794.jpg,1,1,1,0
1011405,1011405,Lucky Pierre,,http://i.annihil.us/u/prod/marvel/i/mg/a/e0/4c002e2ce2ba0.jpg,1,1,1,0
1011409,1011409,Nine-Fold Daughters of Xao,,http://i.annihil.us/u/prod/marvel/i/mg/5/70/4c002e21e16a8.jpg,1,1,1,0
1011406,1011406,Shadu the Shady,Shadu the Shady claimed to travel to many unseen magical lands and witnessed miracles he would duplicate at a club called the 53rd Card.,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c002e2a04c75.jpg,1,1,1,0
1010757,1010757,Omega Flight,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,10,3,13,1
1011125,1011125,Ultra-Adaptoid,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1011031,1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,18,3,23,0
1010713,1010713,Tarantula (Luis Alvarez),Alvarez replaced the original Tarantula after his death by the dictatorship Delvadian government.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,6,3,7,1
1009330,1009330,Guardian,,http://i.annihil.us/u/prod/marvel/i/mg/6/50/4dd531d26079c.jpg,36,19,39,2
1009361,1009361,Hyperion (Earth-712),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,35,22,38,0
1011046,1011046,Hedge Knight,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1010916,1010916,Carnage (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c003571c756c.jpg,7,3,9,0
1009200,1009200,Blockbuster,,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92.jpg,12,8,11,2
1009694,1009694,Vertigo (Savage Land Mutate),"Vertigo was a native of the Savage Land and mutated by the mutant known as Magneto, granting her the power to alter the perceptions of others.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,28,15,25,3
1009514,1009514,Puma,,http://i.annihil.us/u/prod/marvel/i/mg/7/c0/4c003c7a0ab21.jpg,31,13,34,2
1009232,1009232,Ch'od,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4ce59f2dcd04d.jpg,39,14,34,2
1009247,1009247,Corsair,,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c004062d89bd.jpg,31,17,24,0
1009531,1009531,Raza,,http://i.annihil.us/u/prod/marvel/i/mg/c/70/4ce5a1057fce9.jpg,35,13,31,2
1010708,1010708,Pandemic,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,2,1,0
1010786,1010786,Jack Murdock,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,5,9,0
1009463,1009463,Matthew Murdock,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,28,13,35,1
1011338,1011338,Angel (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/4/50/531769ae4399f.jpg,19,3,32,0
1014996,1014996,Hellfire Club (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,1,4,0
1011337,1011337,Nightcrawler (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/3/a0/4c002e438799c.jpg,38,8,64,0
1010959,1010959,Proteus (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c0033f0b31ed.jpg,5,3,3,0
1015003,1015003,Stacy X (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,1,2,0
1011009,1011009,Wind Dancer,"Given the codename Wind Dancer, Sofia Mantega stepped up to lead the New Mutants.",http://i.annihil.us/u/prod/marvel/i/mg/2/20/4c0032802a24d.jpg,15,2,30,1
1009667,1009667,Thunderbird (Neal Shaara),"Coming from an affluent family and the son of a Calcuttan police chief, Indian national Neal Shaara has not been a follower of Charles Xavier's philosophies for long, but appears to be one of their most dedicated supporters, nonetheless.",http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4c003aa0d9cf9.jpg,36,8,47,1
1011412,1011412,Iron Fist (Wu Ao-Shi),,http://i.annihil.us/u/prod/marvel/i/mg/7/03/53176f05a6851.jpg,2,1,3,0
1009456,1009456,Morph,,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4ce5a06d6a8ad.jpg,21,12,23,1
1010367,1010367,Masque,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,35,12,34,3
1011126,1011126,Sally Floyd,,http://i.annihil.us/u/prod/marvel/i/mg/c/d0/4ce5a4ef4b966.jpg,7,3,6,1
1010675,1010675,Humbug,,http://i.annihil.us/u/prod/marvel/i/mg/7/20/4c7c6433e79f5.jpg,5,3,5,1
